cyclostationary_mean_HS_1w_1,cyclostationary_mean_HS_4w_2
-0.04363987859833975,-0.054409781870504825
-0.04363987859833975,-0.054409781870504825
-0.04403464365771236,-0.05457852605073106
-0.044327801570701715,-0.0547038377786303
-0.04077379453802063,-0.05335340494708862
-0.04120493328501901,-0.05366300895896465
-0.044558499167329534,-0.053746073627289205
-0.0469212204963723,-0.054896889797035386
-0.08810246110952595,-0.07245775761041878
-0.18417304561442738,-0.11619357371937131
-0.32096975387897103,-0.19204454521085929
-0.14693564152227964,-0.15995516444385624
0.4013022351954558,-0.00044932219620218074
0.48662347790147664,0.08571413969187003
0.039388807405611063,0.09511324273211469
-0.06724352546555952,0.19417060867005317
-0.21859478144124478,0.0644822065391932
